Term Locale,Term Type,Term,CaseSensitive
en-US,Alaska Agencies,Alaska Department of Education & Early Development,FALSE
en-US,Alaska Agencies,Alaska Department of Fish and Game,FALSE
en-US,Alaska Agencies,Alaska Department of Health and Social Services,FALSE
en-US,Alaska Agencies,Alaska Heritage Resources Survey,FALSE
en-US,Alaska Agencies,Alaska Department of Labor and Workforce Development,FALSE
en-US,Alaska Agencies,Alaska Department of Military and Veterans Affairs,FALSE
en-US,Alaska Agencies,Mount Edgecumbe High School,FALSE
en-US,Alaska Agencies,Alaska State Museum,FALSE
en-US,Alaska Agencies,Alaska Department of Natural Resources,FALSE
en-US,Alaska Agencies,Alaska Oil and Gas Conservation Commission,FALSE
en-US,Alaska Agencies,Alaska State Pension Investment Board,FALSE
en-US,Alaska Agencies,Alaska Permanent Fund,FALSE
en-US,Alaska Agencies,Alaska State School for the Deaf and Hard of Hearing,FALSE
en-US,Alaska Agencies,Alaska Department of Transportation & Public Facilities,FALSE
en-US,Alaska Agencies,Alaska Volcano Observatory,FALSE
en-US,Arizona Agencies,Arizona Corporation Commission,FALSE
en-US,Arizona Agencies,Arizona Department of Gaming,FALSE
en-US,Arizona Agencies,Arizona Department of Health Services,FALSE
en-US,Arizona Agencies,Arizona Department of Juvenile Corrections,FALSE
en-US,Arizona Agencies,Arizona Department of Liquor Licenses and Control,FALSE
en-US,Arizona Agencies,Arizona Department of Mines and Mineral Resources,FALSE
en-US,Arizona Agencies,Arizona Department of Transportation,FALSE
en-US,Arizona Agencies,Arizona Game and Fish Department,FALSE
en-US,Arizona Agencies,Arizona Geological Survey,FALSE
en-US,Arizona Agencies,Arizona Lottery,FALSE
en-US,Arizona Agencies,Arizona National Guard,FALSE
en-US,Arizona Agencies,Arizona School Facilities Board,FALSE
en-US,Arizona Agencies,Arizona Sports and Tourism Authority,FALSE
en-US,Arizona Agencies,Arizona State Land Department,FALSE
en-US,Arizona Agencies,Arizona Department of Education,FALSE
en-US,Arizona Agencies,Arizona Department of Economic Security,FALSE
en-US,Arizona Agencies,Arizona Department of Public Safety,FALSE
en-US,Arizona Agencies,Arizona State Parks,FALSE
en-US,Arkansas Agencies,Arkansas Department of Aeronautics,FALSE
en-US,Arkansas Agencies,Arkansas Department of Community Correction,FALSE
en-US,Arkansas Agencies,Arkansas Department of Education,FALSE
en-US,Arkansas Agencies,Arkansas Department of Human Services,FALSE
en-US,Arkansas Agencies,Arkansas Department of Parks and Tourism,FALSE
en-US,Arkansas Agencies,Arkansas Geological Survey,FALSE
en-US,Arkansas Agencies,Arkansas National Guard,FALSE
en-US,Arkansas Agencies,Arkansas Public Service Commission,FALSE
en-US,Arkansas Agencies,Arkansas Department of Transportation,FALSE
en-US,Arkansas Agencies,Arkansas Department of Environmental Quality,FALSE
en-US,Arkansas Agencies,Arkansas Department of Health,FALSE
en-US,California Agencies,California Department of Aging,FALSE
en-US,California Agencies,California Agricultural Labor Relations Board,FALSE
en-US,California Agencies,California Air Resources Board,FALSE
en-US,California Agencies,California Department of Alcohol and Drug Programs,FALSE
en-US,California Agencies,California State Athletic Commission,FALSE
en-US,California Agencies,State Board of Equalization,FALSE
en-US,California Agencies,Board of State Viticultural Commissioners,FALSE
en-US,California Agencies,California Division of Boating and Waterways,FALSE
en-US,California Agencies,California Building Standards Commission,FALSE
en-US,California Agencies,California Bureau for Private Postsecondary Education,FALSE
en-US,California Agencies,California Bureau of Automotive Repair,FALSE
en-US,California Agencies,California Department of Business Oversight,FALSE
en-US,California Agencies,"California Business, Consumer Services and Housing Agency",FALSE
en-US,California Agencies,California Housing Finance Agency,FALSE
en-US,California Agencies,CALFED Bay-Delta Program,FALSE
en-US,California Agencies,California Affiliated Risk Management Authority,FALSE
en-US,California Agencies,California Board of Accountancy,FALSE
en-US,California Agencies,California Board of Pilot Commissioners,FALSE
en-US,California Agencies,California Bureau of Medical Cannabis,FALSE
en-US,California Agencies,California Bureau of Real Estate,FALSE
en-US,California Agencies,California Bureau of State Audits,FALSE
en-US,California Agencies,California Cadet Corps,FALSE
en-US,California Agencies,California Coastal Conservancy,FALSE
en-US,California Agencies,California Commission for Economic Development,FALSE
en-US,California Agencies,California Commission on Asian and Pacific Islander Affairs,FALSE
en-US,California Agencies,California Department of Health Care Services,FALSE
en-US,California Agencies,California Department of Managed Health Care,FALSE
en-US,California Agencies,California Department of Rehabilitation,FALSE
en-US,California Agencies,California Fair Political Practices Commission,FALSE
en-US,California Agencies,California Film Commission,FALSE
en-US,California Agencies,California National Guard,FALSE
en-US,California Agencies,California Office of Systems Integration,FALSE
en-US,California Agencies,California Space Authority,FALSE
en-US,California Agencies,CaliforniaVolunteers,FALSE
en-US,California Agencies,CalPERS,FALSE
en-US,California Agencies,CalSTRS,FALSE
en-US,California Agencies,CalTrans,FALSE
en-US,California Agencies,California Coastal Commission,FALSE
