Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Pennsylvania Agencies,Pennsylvania Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Pennsylvania Agencies,Wild Resource Conservation Program,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Department of Environmental Management,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Board of Governors for Higher Education,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,"Rhode Island Department of Children, Youth & Families",,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Department of Elementary and Secondary Education,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Department of Health,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Division of Commercial Licensing and Regulation,,FALSE
en-US,Geopolitical - Agencies,Rhode Island Agencies,Rhode Island Lottery,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Department of Health and Environmental Control,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Adjutant General,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Department of Education,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Law Enforcement Division,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Ports Authority,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,"South Carolina Department of Probation, Parole, and Pardon Services",,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,South Carolina State Guard,,FALSE
en-US,Geopolitical - Agencies,South Carolina Agencies,Urban Search and Rescue South Carolina Task Force 1,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Board of Regents,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Department of Education,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Lottery,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,Dusty Johnson,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Special Tax Division,,FALSE
en-US,Geopolitical - Agencies,South Dakota Agencies,South Dakota Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Air National Guard,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Army National Guard,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Foreign Language Institute,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Historical Commission,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Safety and Homeland Security,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Board of Parole,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Bureau of Investigation,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Commission of Indian Affairs,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Commission on Children and Youth,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Children's Services,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Correction,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Education,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Environment and Conservation,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Finance and Administration,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Financial Institutions,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Health,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Personnel,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Division of Archaeology,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Emergency Management Agency,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Highway Patrol,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Military Department,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Regulatory Authority,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Secretary of State,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee State Library and Archives,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Student Assistance Corporation,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Tourist Development,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Tennessee Agencies,Tennessee Wildlife Resources Agency,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Office of Administrative Hearings,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Aging and Disability Services,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Veterans Land Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M AgriLife Extension Service,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas AgriLife Research,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M AgriLife,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Angelina & Neches River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Animal Health Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Assistive and Rehabilitative Services,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Attorney General,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Board of Examiners of Psychologists,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Brazos River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Brenham State Supported Living Center,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Criminal Justice Policy Council,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Education Agency,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Employees Retirement System of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M Engineering Experiment Station,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M Engineering Extension Service,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Commission on Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Ethics Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Family and Protective Services,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Forensic Science Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M Forest Service,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Health and Human Services Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Higher Education Coordinating Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Recorded Texas Historic Landmark,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Historical Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Housing and Community Affairs,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Insurance,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Juvenile Justice Department,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Lavaca-Navidad River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Legislature,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Library and Archives Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Lower Colorado River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Parks and Wildlife Department,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Public Utility Commission of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Railroad Commission of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Real Estate Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,San Antonio River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas School for the Blind and Visually Impaired,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas School for the Deaf,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Secretary of State of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,State Bar of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,State Fair of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of State Health Services,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Sunset Advisory Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Teacher Retirement System of Texas,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Board of Architectural Examiners,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Commission on Alcohol and Drug Abuse,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Commission on Fire Protection,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Commission on Jail Standards,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas County & District Retirement System,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Information Resources,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Licensing and Regulation,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Public Safety,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Department of Rural Affairs,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Facilities Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Film Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas General Land Office,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Juvenile Probation Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Lottery,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Medical Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Music Office,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Residential Construction Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Affordable Housing Corporation,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Board of Dental Examiners,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Preservation Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Securities Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas State Soil and Water Conservation Board,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Workforce Commission,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas A&M Transportation Institute,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Trinity River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Upper Colorado River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Upper Guadalupe River Authority,,FALSE
en-US,Geopolitical - Agencies,Texas Agencies,Texas Youth Commission,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Jordan Valley Water Conservancy District,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Public Service Commission of Utah,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Science Technology and Research Initiative,USTAR,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Department of Public Safety,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Division of Juvenile Justice Services,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah housing corporation,,FALSE
en-US,Geopolitical - Agencies,Utah Agencies,Utah Seismic Safety Commission,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Agency of Education,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Agency of Human Services,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Public Service Board,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Public Service Department,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Agency of Transportation,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Agency of Agriculture Food and Markets,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Agency of Commerce and Community Development,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Department for Children and Families,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Department of Liquor Control,,FALSE
en-US,Geopolitical - Agencies,Vermont Agencies,Vermont Department of Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Agriculture and Consumer Services,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Alcoholic Beverage Control Board,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Governor's Cabinet,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Commonwealth Transportation Board,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Conservation and Recreation,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia State Board of Elections,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Game and Inland Fisheries,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Historic Resources,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,"Virginia Department of Mental Health, Mental Retardation, and Substance Abuse",,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,State Corporation Commission,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Board of Game and Inland Fisheries,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Board of Health,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Commission for the Arts,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Commission on Constitutional Government,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Education,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Forestry,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Health,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Department of Rail and Public Transportation,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Information Technologies Agency,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Lottery,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Marine Resources Commission,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia National Guard,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia State Board of Censors,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia State Board of Education,,FALSE
en-US,Geopolitical - Agencies,Virginia Agencies,Virginia Workers' Compensation Commission,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Archaeology and Historic Preservation,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Board of Education,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Corrections,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Early Learning,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Ecology,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Office of Education Ombudsman,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Gambling Commission,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Health,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Higher Education Coordinating Board,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Information Services,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Institute for Public Policy,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington Military Department,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Office of Superintendent of Public Instruction,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Public Stadium Authority,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Public Disclosure Commission,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Social and Health Services,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington Talking Book & Braille Library,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington Toll Bridge Authority,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington Utilities and Transportation Commission,,FALSE
en-US,Geopolitical - Agencies,Washington Agencies,Washington State Office of the Insurance Commissioner,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Division of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,University System of West Virginia,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Administration,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Commerce,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Education,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Environmental Protection,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Health and Human Resources,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Department of Veterans Assistance,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Division of Forestry,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Division of Juvenile Services,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Lottery,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia National Guard,,FALSE
en-US,Geopolitical - Agencies,West Virginia Agencies,West Virginia Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Administration,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,"Wisconsin Department of Agriculture, Trade and Consumer Protection",,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Board of Commissioners of Public Lands,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Children and Families,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Corrections,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Health Services,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Office of State Employment Relations,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Office of the Commissioner of Railroads,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Public Instruction,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Tourism,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Department of Workforce Development,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Educational Communications Board,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Lottery,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Sentencing Commission,,FALSE
en-US,Geopolitical - Agencies,Wisconsin Agencies,Wisconsin Tax Appeals Commission,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Department of Education,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Film and Television Office,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Fish and Game Department,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Department of Health & Human Services,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Department of Justice,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Liquor Commission,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Lottery,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Division of Parks and Recreation,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Police Standards and Training Council,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Real Estate Commission,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Retirement System,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Department of Safety,,FALSE
en-US,Geopolitical - Agencies,New Hampshire Agencies,New Hampshire Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Lottery,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Board of Charities and Reform,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Business Council,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Education,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Family Services,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Health,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Division of State Parks and Historic Sites,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Military Department,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Wyoming Agencies,Wyoming Workforce Development Council,,FALSE
